Item,Trial Type,Min Time,Max Time,TrialNum,Settings,Settings2,Text,Shuffle,"AdvShuffle; target A, B, F",Phase,ArtistNum,Schedule
,similarityJudgmentTimed,,user,156,"""sets"":""1,2""","""status_message"": ""trial 68 of 88"", ""status_progress"": 0.772727272727273",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,157,"""sets"":""1,2""","""status_message"": ""trial 69 of 88"", ""status_progress"": 0.784090909090909",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,158,"""sets"":""1,2""","""status_message"": ""trial 70 of 88"", ""status_progress"": 0.795454545454545",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,159,"""sets"":""1,2""","""status_message"": ""trial 71 of 88"", ""status_progress"": 0.806818181818182",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,160,"""sets"":""1,2""","""status_message"": ""trial 72 of 88"", ""status_progress"": 0.818181818181818",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,161,"""sets"":""1,2""","""status_message"": ""trial 73 of 88"", ""status_progress"": 0.829545454545455",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,162,"""sets"":""1,2""","""status_message"": ""trial 74 of 88"", ""status_progress"": 0.840909090909091",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,163,"""sets"":""1,2""","""status_message"": ""trial 75 of 88"", ""status_progress"": 0.852272727272727",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,164,"""sets"":""1,2""","""status_message"": ""trial 76 of 88"", ""status_progress"": 0.863636363636364",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,165,"""sets"":""1,2""","""status_message"": ""trial 77 of 88"", ""status_progress"": 0.875",,off,sj3.7,SJ2,,Interleaved
,similarityJudgmentTimed,,user,166,"""sets"":""1,2""","""status_message"": ""trial 78 of 88"", ""status_progress"": 0.886363636363636",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,167,"""sets"":""1,2""","""status_message"": ""trial 79 of 88"", ""status_progress"": 0.897727272727273",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,168,"""sets"":""1,2""","""status_message"": ""trial 80 of 88"", ""status_progress"": 0.909090909090909",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,169,"""sets"":""1,2""","""status_message"": ""trial 81 of 88"", ""status_progress"": 0.920454545454545",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,170,"""sets"":""1,2""","""status_message"": ""trial 82 of 88"", ""status_progress"": 0.931818181818182",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,171,"""sets"":""1,2""","""status_message"": ""trial 83 of 88"", ""status_progress"": 0.943181818181818",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,172,"""sets"":""1,2""","""status_message"": ""trial 84 of 88"", ""status_progress"": 0.954545454545455",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,173,"""sets"":""1,2""","""status_message"": ""trial 85 of 88"", ""status_progress"": 0.965909090909091",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,174,"""sets"":""1,2""","""status_message"": ""trial 86 of 88"", ""status_progress"": 0.977272727272727",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,175,"""sets"":""1,2""","""status_message"": ""trial 87 of 88"", ""status_progress"": 0.988636363636364",,off,sj3.8,SJ2,,Interleaved
,similarityJudgmentTimed,,user,176,"""sets"":""1,2""","""status_message"": ""trial 88 of 88"", ""status_progress"": 1",,off,sj3.8,SJ2,,Interleaved
